[16:52:52:795] [INFO] - com.wysoft.https_auth.shiro.ShiroConfig.authRealm(ShiroConfig.java:30) - ====ShiroRealm注册完成=====
[16:52:57:377] [INFO] - com.wysoft.https_auth.shiro.ShiroConfig.securityManager(ShiroConfig.java:44) - ====securityManager注册完成====
[16:52:57:424] [INFO] - com.wysoft.https_auth.shiro.ShiroConfig.shiroFilter(ShiroConfig.java:124) - ====shiroFilterFactoryBean注册完成====
[16:52:58:843] [INFO] - com.wysoft.https_base.configuration.ZookeeperConfig.zkClient(ZookeeperConfig.java:37) - 【初始化ZooKeeper连接状态....】=CONNECTED
[16:53:01:434] [INFO] - com.wysoft.https_base.listener.ApplicationListenerPostProcessor.onContextRefreshedEvent(ApplicationListenerPostProcessor.java:52) - 容器加载完成，执行后处理方法...
[16:53:01:446] [INFO] - com.wysoft.https_base.annotation.RemoteServiceAnnotationProcessor.registerService(RemoteServiceAnnotationProcessor.java:131) - 注册分布式服务:[aiService]
[16:53:01:474] [INFO] - com.wysoft.https_base.annotation.RemoteServiceAnnotationProcessor.registerService(RemoteServiceAnnotationProcessor.java:153) - 已创建服务节点[/remoteServices/aiService/speechSynthesis:https://139.155.88.126:8443/httpServiceEntry]
[16:53:01:475] [INFO] - com.wysoft.https_base.annotation.RemoteServiceAnnotationProcessor.registerService(RemoteServiceAnnotationProcessor.java:131) - 注册分布式服务:[erpService]
[16:53:01:481] [INFO] - com.wysoft.https_base.annotation.RemoteServiceAnnotationProcessor.registerService(RemoteServiceAnnotationProcessor.java:153) - 已创建服务节点[/remoteServices/erpService/placeOrder:https://139.155.88.126:8443/httpServiceEntry]
[16:53:01:481] [INFO] - com.wysoft.https_base.annotation.RemoteServiceAnnotationProcessor.registerService(RemoteServiceAnnotationProcessor.java:131) - 注册分布式服务:[userAuth]
[16:53:01:506] [INFO] - com.wysoft.https_base.annotation.RemoteServiceAnnotationProcessor.registerService(RemoteServiceAnnotationProcessor.java:153) - 已创建服务节点[/remoteServices/userAuth/register:https://139.155.88.126:8443/httpServiceEntry]
[16:53:01:514] [INFO] - com.wysoft.https_base.annotation.RemoteServiceAnnotationProcessor.registerService(RemoteServiceAnnotationProcessor.java:153) - 已创建服务节点[/remoteServices/userAuth/doAction:https://139.155.88.126:8443/httpServiceEntry]
[16:53:01:520] [INFO] - com.wysoft.https_base.annotation.RemoteServiceAnnotationProcessor.registerService(RemoteServiceAnnotationProcessor.java:153) - 已创建服务节点[/remoteServices/userAuth/setAuthLogin:https://139.155.88.126:8443/httpServiceEntry]
[16:53:01:526] [INFO] - com.wysoft.https_base.annotation.RemoteServiceAnnotationProcessor.registerService(RemoteServiceAnnotationProcessor.java:153) - 已创建服务节点[/remoteServices/userAuth/shiroLogin:https://139.155.88.126:8443/httpServiceEntry]
[16:53:01:574] [INFO] - com.wysoft.https_base.kafka.MessageProcessor.doMessage(MessageProcessor.java:29) - 接收消息:{"serviceId":"erpService","action":"placeOrder","data":{"userId":2,"items":[{"productId":"111","itemCount":1},{"productId":"222","itemCount":1}],"total":6000,"addrId":"11"}}
[16:53:01:574] [INFO] - com.wysoft.https_base.kafka.MessageProcessor.doMessage(MessageProcessor.java:29) - 接收消息:{"serviceId":"erpService","action":"placeOrder","data":{"userId":2,"items":[{"productId":"111","itemCount":1},{"productId":"222","itemCount":1}],"total":6000,"addrId":"11"}}
[16:53:01:574] [INFO] - com.wysoft.https_base.kafka.MessageProcessor.doMessage(MessageProcessor.java:29) - 接收消息:{"serviceId":"erpService","action":"placeOrder","data":{"userId":2,"items":[{"productId":"111","itemCount":1},{"productId":"222","itemCount":1}],"total":6000,"addrId":"11"}}
[16:53:01:575] [INFO] - com.wysoft.https_base.kafka.MessageProcessor.doMessage(MessageProcessor.java:29) - 接收消息:{"serviceId":"erpService","action":"placeOrder","data":{"userId":2,"items":[{"productId":"111","itemCount":1},{"productId":"222","itemCount":1}],"total":6000,"addrId":"11"}}
[16:53:01:575] [INFO] - com.wysoft.https_base.kafka.MessageProcessor.doMessage(MessageProcessor.java:29) - 接收消息:{"serviceId":"erpService","action":"placeOrder","data":{"userId":2,"items":[{"productId":"111","itemCount":1},{"productId":"222","itemCount":1}],"total":6000,"addrId":"11"}}
[16:53:01:576] [INFO] - com.wysoft.https_base.kafka.MessageProcessor.doMessage(MessageProcessor.java:29) - 接收消息:{"serviceId":"erpService","action":"placeOrder","data":{"userId":2,"items":[{"productId":"111","itemCount":1},{"productId":"222","itemCount":1}],"total":6000,"addrId":"11"}}
[16:53:01:576] [INFO] - com.wysoft.https_base.kafka.MessageProcessor.doMessage(MessageProcessor.java:29) - 接收消息:{"serviceId":"erpService","action":"placeOrder","data":{"userId":2,"items":[{"productId":"111","itemCount":1},{"productId":"222","itemCount":1}],"total":6000,"addrId":"11"}}
[16:53:01:576] [INFO] - com.wysoft.https_base.kafka.MessageProcessor.doMessage(MessageProcessor.java:29) - 接收消息:{"serviceId":"erpService","action":"placeOrder","data":{"userId":2,"items":[{"productId":"111","itemCount":1},{"productId":"222","itemCount":1}],"total":6000,"addrId":"11"}}
[16:53:01:576] [INFO] - com.wysoft.https_base.kafka.MessageProcessor.doMessage(MessageProcessor.java:29) - 接收消息:{"serviceId":"erpService","action":"placeOrder","data":{"userId":2,"items":[{"productId":"111","itemCount":1},{"productId":"222","itemCount":1}],"total":6000,"addrId":"11"}}
